%dist (km)	elevation(km)
    2.4608   -0.3320
   17.1487   -0.1730
   36.6813   -0.0670
   56.2139    0.0920
   79.8068    0.1450
  101.7848    0.0920
  114.8117   -0.1730
  130.2686   -0.2260
  146.5406   -0.2260
  155.4918   -0.0140
  168.5187   -0.5960
  181.5301   -1.3370
  203.5082   -2.0250
  216.5350   -2.1840
  231.1768   -2.1840
  252.3397   -2.4480
  266.1817   -3.0300
  280.0083   -3.0830
  289.7746   -3.6650
  298.7257   -4.3530
  313.3829   -4.3000
  325.5792   -1.7600
  332.1003   -2.3950
  336.9758   -3.1360
  346.7421   -3.2420
  358.1387   -3.3480
  365.4596   -3.8240
  376.0410   -3.7710
  383.3619   -3.3480
  392.3130   -3.1890
  399.6339   -2.5540
  411.0305   -2.3420
  428.7944   -1.7600
  446.8351   -1.2840
  467.1829   -0.9140
  483.4703   -0.4370
  501.3726   -0.1730
  522.5201   -0.1200
  536.3621    0.0390
  555.8947    0.1500
  577.0576    0.1500
  590.0691    0.0970
